#{"t_start": 1629995467.5777366, "env_id": "Pendulum-v0"}
r,l,t
-228.120755,200,249.664438
-349.141075,200,249.923744
-599.268997,200,250.206987
-254.329362,200,250.472277
-124.360552,200,251.014827
-241.055743,200,251.280117
-122.900693,200,251.544411
-248.825989,200,251.804714
-246.039402,200,252.065019
-118.762396,200,252.601584
-228.500712,200,252.874853
-444.622182,200,253.147125
-749.299495,200,253.406432
-348.851803,200,253.680699
-391.900957,200,254.214277
-506.430515,200,254.48056
-248.424654,200,254.744854
-243.256193,200,255.013138
-125.424494,200,255.287403
-250.883934,200,255.827958
-672.782646,200,256.095243
-123.635856,200,256.36552
-238.00175,200,256.632805
-235.988047,200,256.899093
-199.253112,200,257.434661
-393.439096,200,257.698955
-881.739061,200,257.965245
-2.315954,200,258.23153
-129.289272,200,258.496821
-127.303188,200,259.034384
-127.456329,200,259.29369
-126.718225,200,259.56297
-1.31529,200,259.835242
-329.25351,200,260.107514
-238.248448,200,260.652058
-0.876281,200,260.918346
-125.960767,200,261.211563
-117.126457,200,261.478848
-248.232766,200,261.744139
-233.938225,200,262.278709
-3.385352,200,262.546993
-119.808794,200,262.809291
-116.630837,200,263.073584
-123.876621,200,263.338875
-2.941662,200,263.892395
-238.214069,200,264.163669
-129.684273,200,264.42896
-129.012769,200,264.696245
-240.242967,200,264.959542
-248.118022,200,265.507078
-240.843122,200,265.765386
-122.065917,200,266.025691
-248.553922,200,266.283999
-392.230389,200,266.542309
-128.140416,200,267.08785
-3.363632,200,267.355136
-241.294166,200,267.625412
-125.981052,200,267.89569
-120.869961,200,268.170955
-347.346794,200,268.709514
-1.384374,200,268.981788
-1.595799,200,269.25306
-115.765663,200,269.520346
-325.678359,200,269.783643
-117.427184,200,270.378054
-1.301906,200,270.669275
-241.2484,200,270.947531
-455.285223,200,271.223791
-237.538735,200,271.517008
-127.169644,200,272.11441
-125.971657,200,272.409621
-119.189774,200,272.696852
-238.390824,200,272.997052
-127.74551,200,273.294257
-130.90105,200,273.900635
-414.602696,200,274.16792
-0.196502,200,274.457146
-126.828374,200,274.71745
-233.1094,200,274.97576
-345.192246,200,275.574159
-128.769167,200,275.832469
-627.727087,200,276.100752
-122.908017,200,276.36305
-126.687312,200,276.628341
-123.002592,200,277.182858
-125.475098,200,277.45513
-501.363623,200,277.732389
-120.10112,200,278.010644
-241.385818,200,278.293889
-122.558164,200,278.865359
-126.386085,200,279.145611
-253.772607,200,279.418879
-242.542443,200,279.70312
-119.577551,200,279.978384
-237.575632,200,282.141603
-246.599424,200,282.415866
-0.585651,200,282.68714
-382.553143,200,282.955423
-0.416698,200,283.234676
-4.56221,200,283.777226
-128.427016,200,284.047502
-128.259208,200,284.313792
-241.951601,200,284.584068
-239.100962,200,284.855343
-124.762078,200,285.396895
-355.851418,200,285.666175
-127.42139,200,285.930468
-238.606591,200,286.193764
-239.150828,200,286.460053
-238.92706,200,287.002602
-436.745452,200,287.274878
-124.41766,200,287.544154
-116.991091,200,287.812436
-0.607396,200,288.081716
-117.290051,200,288.629253
-118.22771,200,288.897536
-240.780283,200,289.169806
-124.979005,200,289.435098
-0.099278,200,289.698395
-241.862462,200,290.249919
-122.363147,200,290.527177
-128.251065,200,290.796458
-2.025947,200,291.063744
-1.883117,200,291.335017
-126.910762,200,291.871582
-294.926634,200,292.133882
-121.104264,200,292.403161
-381.341108,200,292.670446
-0.594497,200,292.950697
-124.747579,200,293.501227
-120.622172,200,293.771502
-242.484688,200,294.043775
-237.953913,200,294.311059
-123.926814,200,294.582335
-245.278664,200,295.138846
-243.110415,200,295.412115
-121.728659,200,295.681396
-915.723814,200,295.942697
-237.957234,200,296.212974
-242.525593,200,296.763503
-114.429889,200,297.033781
-240.672298,200,297.304057
-0.475284,200,297.575331
-370.485509,200,297.843614
-240.576311,200,298.38417
-391.335273,200,298.65345
-241.177091,200,298.920737
-126.211915,200,299.178046
-125.59396,200,299.44234
-244.023269,200,300.009823
-122.486384,200,300.299049
-116.27201,200,300.566334
-118.023108,200,300.837609
-243.587017,200,301.105891
-120.21203,200,301.646446
-116.655658,200,301.917722
-120.074014,200,302.19498
-118.47665,200,302.465268
-238.637846,200,302.73354
-124.157904,200,303.28706
-245.735627,200,303.551354
-244.256499,200,303.815646
